     ____
    / _  |   Frida 12.6.20 - A world-class dynamic instrumentation toolkit
   | (_| |
    > _  |   Commands:
   /_/ |_|       help      -> Displays the help system
   . . . .       object?   -> Display information about 'object'
   . . . .       exit/quit -> Exit
   . . . .
   . . . .   More info at http://www.frida.re/docs/home/
Spawning `com.cz.babySister`...
Spawned `com.cz.babySister`. Resuming main thread!
[Google AOSP on msm8996::com.cz.babySister]-> message: {'type': 'send', 'payload': 'name:_ZNSt3__113basic_filebufIcNS_11char_traitsIcEEE7seekposENS_4fposI9mbstate_tEEj  address:0x79a08b5374'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art6mirror5Field10ResetClassEv  address:0x79a076b60c'} data: None
message: {'type': 'send', 'payload': 'name:_ZNK3art9OatHeader35GetQuickImtConflictTrampolineOffsetEv  address:0x79a07acf20'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art16RuntimeCallbacks23AddRuntimePhaseCallbackEPNS_20RuntimePhaseCallbackE  address:0x79a0837fec'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art15DexFileVerifier21CheckInterProtoIdItemEv  address:0x79a055b8b4'} data: None
message: {'type': 'send', 'payload': 'name:_Unwind_RaiseException  address:0x79a0922b58'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art3Dbg16BuildInvokeReplyEPNS_4JDWP9ExpandBufEjNS1_7JdwpTagEmm  address:0x79a0538e60'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art2gc9collector17ConcurrentCopying14DisableMarkingEv  address:0x79a0595758'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art2gc9collector9SemiSpace11BindBitmapsEv  address:0x79a05b73e0'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art16OatFileAssistantC2EPKcNS_14InstructionSetEb  address:0x79a07b639c'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art11Transaction34UndoInternStringTableModificationsEv  address:0x79a0872d2c'} data: None
message: {'type': 'send', 'payload': 'name:_ZNSt3__18functionIFRN3art17ExperimentalFlagsEvEE4swapERS5_  address:0x79a08122e8'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art8verifier20UnresolvedMergedTypeC2ERKNS0_7RegTypeERKNS_9BitVectorEPKNS0_12RegTypeCacheEt  address:0x79a089bcf4'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art3Dbg16GetReferenceTypeEmPNS_4JDWP9ExpandBufE  address:0x79a051ff64'} data: None
message: {'type': 'send', 'payload': 'name:__register_frame_info_bases  address:0x79a092446c'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art9ArtMethod29IsAnnotatedWithCriticalNativeEv  address:0x79a048b770'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art5MutexD1Ev  address:0x79a0492c58'} data: None
message: {'type': 'send', 'payload': 'name:_ZNSt3__16vectorIN3art21DeoptimizationRequestENS_9allocatorIS2_EEE21__push_back_slow_pathIRKS2_EEvOT_  address:0x79a0541130'} data: None
message: {'type': 'send', 'payload': 'name:_ZNSt3__114__split_bufferIPNS_5tupleIJPKvmbEEENS_9allocatorIS5_EEE9push_backEOS5_  address:0x79a0553e3c'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art6MemMap7SetSizeEm  address:0x79a074d490'} data: None
message: {'type': 'send', 'payload': 'name:_ZNK3art15instrumentation15Instrumentation28InvokeVirtualOrInterfaceImplEPNS_6ThreadENS_6ObjPtrINS_6mirror6ObjectEEEPNS_9ArtMethodEjS9_  address:0x79a061a1d0'} data: None
message: {'type': 'send', 'payload': 'name:_ZTVN3art22FetchStackTraceVisitorE  address:0x79a09dcbd0'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art2gc9collector17ConcurrentCopying22AssertToSpaceInvariantEPNS_12GcRootSourceEPNS_6mirror6ObjectE  address:0x79a05998c0'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art2gc9collector9MarkSweep11FinishPhaseEv  address:0x79a05ae37c'} data: None
message: {'type': 'send', 'payload': 'name:artAllocObjectFromCodeInitializedBumpPointer  address:0x79a08c2240'} data: None
message: {'type': 'send', 'payload': 'name:_ZNK3art11ElfFileImplI10ElfTypes32E6GetRelER10Elf32_Shdrj  address:0x79a0563b78'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art3Dbg13MatchInstanceEmPNS_6mirror6ObjectE  address:0x79a0522824'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art2gc4Heap34AssertThreadLocalBuffersAreRevokedEPNS_6ThreadE  address:0x79a05d8e28'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art3jit12JitCodeCache15DoneCompilerUseEPNS_9ArtMethodEPNS_6ThreadE  address:0x79a06d8338'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art13ParsedOptions21ProcessSpecialOptionsERKNSt3__16vectorINS1_4pairINS1_12basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEEPKvEENS7_ISC_EEEEPNS_18RuntimeArgumentMapEPNS2_IS9_NS7_IS9_EEEE  address:0x79a07cd2f4'} data: None
message: {'type': 'send', 'payload': 'name:_ZNSt3__18functionIFvRN3art6MemoryILm1024EEEEE4swapERS6_  address:0x79a07e4418'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art11TransactionC1Ev  address:0x79a08713ec'} data: None
message: {'type': 'send', 'payload': 'name:_ZNK3art8VdexFile15GetDexFileIndexERKNS_7DexFileE  address:0x79a087aa6c'} data: None
message: {'type': 'send', 'payload': 'name:_ZTVN3art40SetInterpreterEntrypointArtMethodVisitorE  address:0x79a09d4a38'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art2gc10accounting27ModUnionTableReferenceCache4DumpERNSt3__113basic_ostreamIcNS3_11char_traitsIcEEEE  address:0x79a058555c'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art11InternTable12InsertStrongENS_6ObjPtrINS_6mirror6StringEEE  address:0x79a061fb30'} data: None
message: {'type': 'send', 'payload': 'name:_ZNSt3__18functionIFvRNS_4listIN3art2ti5AgentENS_9allocatorIS4_EEEEEE4swapERSA_  address:0x79a07e0f48'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art11interpreter16UnstartedRuntime30UnstartedJNIClassGetNameNativeEPNS_6ThreadEPNS_9ArtMethodEPNS_6mirror6ObjectEPjPNS_6JValueE  address:0x79a06a4da8'} data: None
message: {'type': 'send', 'payload': 'name:_ZNSt3__16vectorINS_12basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEENS4_IS6_EEE6insertINS_11__wrap_iterIPKS6_EEEENS_9enable_ifIXaasr21__is_forward_iteratorIT_EE5valuesr16is_constructibleIS6_NS_15iterator_traitsISF_E9referenceEEE5valueENSA_IPS6_EEE4typeESD_SF_SF_  address:0x79a07bb9e8'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art20StackOverflowHandler6ActionEiP7siginfoPv  address:0x79a090b4c0'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art8verifier12VerifierDeps18AddClassResolutionERKNS_7DexFileENS_3dex9TypeIndexEPNS_6mirror5ClassE  address:0x79a08a7a84'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art16RuntimeCallbacks26RemoveRuntimePhaseCallbackEPNS_20RuntimePhaseCallbackE  address:0x79a083805c'} data: None
message: {'type': 'send', 'payload': 'name:_ZNK3art27Arm64InstructionSetFeatures8AsBitmapEv  address:0x79a07b7504'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art11interpreter16UnstartedRuntime23UnstartedMemoryPeekLongEPNS_6ThreadEPNS_11ShadowFrameEPNS_6JValueEm  address:0x79a06a2f24'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art7MonitorC2EPNS_6ThreadES2_PNS_6mirror6ObjectEij  address:0x79a0775318'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art16RuntimeCallbacks20AddClassLoadCallbackEPNS_17ClassLoadCallbackE  address:0x79a0837c18'} data: None
message: {'type': 'send', 'payload': 'name:_ZNSt3__17getlineIcNS_11char_traitsIcEENS_9allocatorIcEEEERNS_13basic_istreamIT_T0_EES9_RNS_12basic_stringIS6_S7_T1_EES6_  address:0x79a08b5c08'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art10LockedFile11ReleaseLockEv  address:0x79a0496e08'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art12JniMethodEndEjPNS_6ThreadE  address:0x79a08d824c'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art3Dbg16IsMethodObsoleteEm  address:0x79a0522cf4'} data: None
message: {'type': 'send', 'payload': 'name:_ZTVN3art19ReferenceMapVisitorINS_19RootCallbackVisitorELb0EEE  address:0x79a09dcd58'} data: None
message: {'type': 'send', 'payload': 'name:_ZTVN3art21RuntimeArgumentMapKeyIPFbvEEE  address:0x79a09dc988'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art11InternTable24AddTableFromMemoryLockedEPKh  address:0x79a061fea0'} data: None
message: {'type': 'send', 'payload': 'name:_ZTVN3art13VariantMapKeyIPNS_17CompilerCallbacksEEE  address:0x79a09dbfa8'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art6mirror8CallSite8SetClassEPNS0_5ClassE  address:0x79a075a03c'} data: None
message: {'type': 'send', 'payload': 'name:_ZNK3art11ElfFileImplI10ElfTypes32E21GetSymbolSectionStartEj  address:0x79a0562f74'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art6mirror14PrimitiveArrayIiE15AllocateAndFillEPNS_6ThreadEPKim  address:0x79a0758540'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art6mirror6String6EqualsEPKtii  address:0x79a0773010'} data: None
message: {'type': 'send', 'payload': 'name:_ZNK3art7Runtime18RecordWriteField32EPNS_6mirror6ObjectENS_12MemberOffsetEjb  address:0x79a0836050'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art6detail11ToStringAnyINS_25MillisecondsToNanosecondsEEENSt3__112basic_stringIcNS3_11char_traitsIcEENS3_9allocatorIcEEEERKT_PNS3_9enable_ifIXsr25SupportsInsertionOperatorISA_EE5valueEvE4typeE  address:0x79a07f269c'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art2gc10accounting11SpaceBitmapILm8EE17ComputeBitmapSizeEm  address:0x79a058d0fc'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3artlsERNSt3__113basic_ostreamIcNS0_11char_traitsIcEEEERKNS_11ImageHeader11ImageMethodE  address:0x79a090fc54'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art16DescriptorToNameEPKc  address:0x79a0877ba8'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art22ProfileCompilationInfo14FindOrAddDexPcEPNS_7SafeMapItNS0_9DexPcDataENSt3__14lessItEENS_21ArenaAllocatorAdapterINS3_4pairIKtS2_EEEEEEj  address:0x79a06dd7ec'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art6mirror5Class10ResetClassEv  address:0x79a075b490'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art2gc9collector9SemiSpace12SetFromSpaceEPNS0_5space26ContinuousMemMapAllocSpaceE  address:0x79a05ba534'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art2gc9allocatorlsERNSt3__113basic_ostreamIcNS2_11char_traitsIcEEEERKNS1_8RosAlloc11PageMapKindE  address:0x79a090f444'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art17FindFieldFromCodeILNS_13FindFieldTypeE4ELb1EEEPNS_8ArtFieldEjPNS_9ArtMethodEPNS_6ThreadEm  address:0x79a0623158'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art6mirror5Class16VisitNativeRootsILNS_17ReadBarrierOptionE1EKNS_2gc9collector17ConcurrentCopying16RefFieldsVisitorEEEvRT0_NS_11PointerSizeE  address:0x79a059f1e0'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art2gc4Heap24ClearConcurrentGCRequestEv  address:0x79a05db7a8'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art22ProfileCompilationInfo10SafeBuffer16CountUnreadBytesEv  address:0x79a06de0c0'} data: None
message: {'type': 'send', 'payload': 'name:_ZNK3art8verifier13ReferenceType4DumpEv  address:0x79a089808c'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art9BaseMutex16RecordContentionEmmm  address:0x79a0487b68'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art15GetJniShortNameERKNSt3__112basic_stringIcNS0_11char_traitsIcEENS0_9allocatorIcEEEES8_  address:0x79a0876a6c'} data: None
message: {'type': 'send', 'payload': 'name:_ZNSt3__113__vector_baseINS_4pairIPN3art9ArtMethodEPNS2_20OatQuickMethodHeaderEEENS_9allocatorIS7_EEED2Ev  address:0x79a049d044'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art11ClassLinker20VisitClassesInternalEPNS_12ClassVisitorE  address:0x79a04d7dbc'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art14OatFileManager15RegisterOatFileENSt3__110unique_ptrIKNS_7OatFileENS1_14default_deleteIS4_EEEE  address:0x79a07bd57c'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art11interpreter10DoFieldGetILNS_13FindFieldTypeE6ELNS_9Primitive4TypeE6ELb0EEEbPNS_6ThreadERNS_11ShadowFrameEPKNS_11InstructionEt  address:0x79a0633f44'} data: None
message: {'type': 'send', 'payload': 'name:_ZNSt3__16vectorINS_12basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEENS4_IS6_EEEC2INS_11__wrap_iterIPKS6_EEEET_NS_9enable_ifIXaasr21__is_forward_iteratorISE_EE5valuesr16is_constructibleIS6_NS_15iterator_traitsISE_E9referenceEEE5valueESE_E4typeE  address:0x79a07d3308'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art2gc4Heap53AssertAllBumpPointerSpaceThreadLocalBuffersAreRevokedEv  address:0x79a05d8e2c'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art2gc9collector9SemiSpace10MarkObjectEPNS_6mirror6ObjectE  address:0x79a05b986c'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art7Monitor13TryLockLockedEPNS_6ThreadE  address:0x79a07760c4'} data: None
message: {'type': 'send', 'payload': 'name:_ZNSt3__112__hash_tableINS_17__hash_value_typeIPN3art9ArtMethodEjEENS_22__unordered_map_hasherIS4_S5_NS_4hashIS4_EELb1EEENS_21__unordered_map_equalIS4_S5_NS_8equal_toIS4_EELb1EEENS_9allocatorIS5_EEE4findIS4_EENS_15__hash_iteratorIPNS_11__hash_nodeIS5_PvEEEERKT_  address:0x79a0870f88'} data: None
message: {'type': 'send', 'payload': 'name:_ZNK3art11Instruction14CanFlowThroughEv  address:0x79a055edec'} data: None
message: {'type': 'send', 'payload': 'name:_ZNK3art15instrumentation15Instrumentation33ShouldNotifyMethodEnterExitEventsEv  address:0x79a06199fc'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art18ClassLoaderContext7DefaultEv  address:0x79a05079f4'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art16WellKnownClasses41dalvik_system_BaseDexClassLoader_pathListE  address:0x79a09e7fe0'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art2gc9collector17ConcurrentCopying16SweepSystemWeaksEPNS_6ThreadE  address:0x79a0595378'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art11interpreter16UnstartedRuntime3JniEPNS_6ThreadEPNS_9ArtMethodEPNS_6mirror6ObjectEPjPNS_6JValueE  address:0x79a06a8300'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art5Trace14RegisterThreadEPNS_6ThreadE  address:0x79a086ff28'} data: None
message: {'type': 'send', 'payload': 'name:_ZNSt3__16vectorIcNS_9allocatorIcEEE8__appendEm  address:0x79a06c6be4'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art15DexFileVerifier27CheckInterAnnotationSetItemEv  address:0x79a055d214'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art17ConditionVariableD2Ev  address:0x79a04943f8'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art35ThrowArrayIndexOutOfBoundsExceptionEii  address:0x79a05127f4'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art6detail11ToStringAnyINS_19ProfileSaverOptionsEEENSt3__112basic_stringIcNS3_11char_traitsIcEENS3_9allocatorIcEEEERKT_PNS3_9enable_ifIXsr25SupportsInsertionOperatorISA_EE5valueEvE4typeE  address:0x79a07f8f0c'} data: None
message: {'type': 'send', 'payload': 'name:_ZNSt3__18functionIFvRN3art16TraceClockSourceEEE4swapERS5_  address:0x79a080cadc'} data: None
message: {'type': 'send', 'payload': 'name:MterpLogNegativeArraySizeException  address:0x79a08eb2e4'} data: None
message: {'type': 'send', 'payload': 'name:_ZNK3art7DexFile14CreateTypeListERKNS_11StringPieceEPNS_3dex9TypeIndexEPNSt3__16vectorIS5_NS7_9allocatorIS5_EEEE  address:0x79a0545c10'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art2gc5space11MallocSpace21FindRecentFreedObjectEPKNS_6mirror6ObjectE  address:0x79a05fb85c'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art7ElfFileC1EPNS_11ElfFileImplI10ElfTypes64EE  address:0x79a057032c'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art8verifier14MethodVerifier4FailENS0_11VerifyErrorE  address:0x79a087f4d0'} data: None
message: {'type': 'send', 'payload': 'name:_ZNK3art8verifier12RegTypeCache24RegTypeFromPrimitiveTypeENS_9Primitive4TypeE  address:0x79a089daa4'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art9ArtMethod18IsImagePointerSizeENS_11PointerSizeE  address:0x79a048c914'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art11ClassLinker33ResolveClassExceptionHandlerTypesENS_6HandleINS_6mirror5ClassEEE  address:0x79a04e4618'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art4JDWP9JdwpState11SendRequestEPNS0_9ExpandBufE  address:0x79a06c126c'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art27GetInstructionSetFromStringEPKc  address:0x79a08b2dcc'} data: None
message: {'type': 'send', 'payload': 'name:_ZNK3art8verifier12VerifierDeps4DumpEPNS_31VariableIndentationOutputStreamE  address:0x79a08aa120'} data: None
message: {'type': 'send', 'payload': 'name:_ZTCNSt3__119basic_ostringstreamIcNS_11char_traitsIcEENS_9allocatorIcEEEE0_NS_13basic_ostreamIcS2_EE  address:0x79a09d3c70'} data: None
message: {'type': 'send', 'payload': 'name:mspace_calloc  address:0x79a057769c'} data: None
message: {'type': 'send', 'payload': 'name:_ZNK3art22ProfileCompilationInfo7IsEmptyEv  address:0x79a06dece0'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art6mirror5Field11GetArtFieldEv  address:0x79a076b990'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art16WellKnownClasses32java_lang_ClassNotFoundExceptionE  address:0x79a09e7dc8'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art17ReaderWriterMutex15ExclusiveUnlockEPNS_6ThreadE  address:0x79a0493b80'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art10ClassTable5VisitINS_17GetClassesVisitorEEEbRT_  address:0x79a06ea65c'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art6mirror14PrimitiveArrayItE5AllocEPNS_6ThreadEm  address:0x79a0756970'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art24register_java_lang_ClassEP7_JNIEnv  address:0x79a078ced8'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art7Monitor20GetLockOwnerThreadIdEPNS_6mirror6ObjectE  address:0x79a077a1d8'} data: None
message: {'type': 'send', 'payload': 'name:_ZNK3art7ElfFile24FindDynamicSymbolAddressERKNSt3__112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEE  address:0x79a05709b8'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art21QuickExceptionHandlerC1EPNS_6ThreadEb  address:0x79a081b47c'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art27BuildGenericJniFrameVisitor5VisitEv  address:0x79a08dd9d8'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art6Thread25is_sensitive_thread_hook_E  address:0x79a09e7c90'} data: None
message: {'type': 'send', 'payload': 'name:_ZNK3art11ElfFileImplI10ElfTypes64E17FindDynamicByTypeEi  address:0x79a05701f0'} data: None
message: {'type': 'send', 'payload': 'name:_ZNSt3__112__hash_tableImNS_4hashImEENS_8equal_toImEENS_9allocatorImEEE8__rehashEm  address:0x79a05e6738'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art11ClassLinker24AddMethodToConflictTableENS_6ObjPtrINS_6mirror5ClassEEEPNS_9ArtMethodES6_S6_b  address:0x79a04f04dc'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art6MemMap10RemapAtEndEPhPKciPNSt3__112basic_stringIcNS4_11char_traitsIcEENS4_9allocatorIcEEEEb  address:0x79a074bce0'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art2gc9collector11MarkCompact21UpdateAndMarkModUnionEv  address:0x79a05a8f84'} data: None
message: {'type': 'send', 'payload': 'name:_ZTVN3art2gc33TrimIndirectReferenceTableClosureE  address:0x79a09d6468'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art2gc18ReferenceProcessor33WaitUntilDoneProcessingReferencesEPNS_6ThreadE  address:0x79a05e7ff8'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art2gc5space11ZygoteSpace14AllocationSizeEPNS_6mirror6ObjectEPm  address:0x79a06043f8'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art11InternTable10InsertWeakENS_6ObjPtrINS_6mirror6StringEEE  address:0x79a061fc74'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art12ProfileSaver20ForceProcessProfilesEv  address:0x79a06ea40c'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3artlsERNSt3__113basic_ostreamIcNS0_11char_traitsIcEEEERKNS0_8multimapIPvPNS_6MemMapENS0_4lessIS7_EENS0_9allocatorINS0_4pairIKS7_S9_EEEEEE  address:0x79a0749488'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art2gc9collector17ConcurrentCopyingD2Ev  address:0x79a058fd64'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art3jit3Jit16StopProfileSaverEv  address:0x79a06cd3d0'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art6Thread7SetTlabEPhS1_S1_  address:0x79a085a888'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art2gc9collector16GarbageCollector20GetTotalPausedTimeNsEv  address:0x79a05a5ebc'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art3Dbg20GetThreadGroupParentEmPNS_4JDWP9ExpandBufE  address:0x79a0528000'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art9JNIEnvExtD2Ev  address:0x79a06c96dc'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art13ProfilingInfoC1EPNS_9ArtMethodERKNSt3__16vectorIjNS3_9allocatorIjEEEE  address:0x79a06e5d04'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art9OatHeader33SetQuickToInterpreterBridgeOffsetEj  address:0x79a07ad4f8'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art13SignalCatcherD2Ev  address:0x79a083cbb4'} data: None
message: {'type': 'send', 'payload': 'name:_ZNSt3__16vectorINS_4pairIN3art6GcRootINS2_6mirror5ClassEEEPKNS2_8verifier7RegTypeEEENS2_27ScopedArenaAllocatorAdapterISB_EEE21__push_back_slow_pathISB_EEvOT_  address:0x79a08a1794'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art2gc5space13RosAllocSpace14CreateInstanceEPNS_6MemMapERKNSt3__112basic_stringIcNS5_11char_traitsIcEENS5_9allocatorIcEEEEPvPhSF_SF_mb  address:0x79a0600e34'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art11OatFileBase11OpenOatFileINS_10ElfOatFileEEEPS0_RKNSt3__112basic_stringIcNS4_11char_traitsIcEENS4_9allocatorIcEEEESC_SC_PhSD_bbbPKcPSA_  address:0x79a07b1d04'} data: None
message: {'type': 'send', 'payload': 'name:_ZNSt3__18functionIFRjvEE4swapERS3_  address:0x79a07eb368'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art6Thread10CleanupCpuEv  address:0x79a090a534'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art20CatchHandlerIteratorC1ERKNS_7DexFile8CodeItemEj  address:0x79a0549a54'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art2gc9collector17ConcurrentCopying30ActivateReadBarrierEntrypointsEv  address:0x79a0590a40'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art35PLUGIN_INITIALIZATION_FUNCTION_NAMEE  address:0x79a09e5250'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art8verifier14MethodVerifier18ScanTryCatchBlocksEv  address:0x79a087ff34'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art11ElfFileImplI10ElfTypes32E16FixupRelocationsEj  address:0x79a05667b0'} data: None
message: {'type': 'send', 'payload': 'name:_ZNKSt3__112__hash_tableIN3art11StringTable5EntryENS2_9EntryHashENS_8equal_toIS3_EENS_9allocatorIS3_EEE4findIS3_EENS_21__hash_const_iteratorIPNS_11__hash_nodeIS3_PvEEEERKT_  address:0x79a0540290'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art11interpreter16UnstartedRuntime22UnstartedLongParseLongEPNS_6ThreadEPNS_11ShadowFrameEPNS_6JValueEm  address:0x79a06a4218'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art18RuntimeArgumentMap27JITCodeCacheInitialCapacityE  address:0x79a09e7650'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art11interpreter10DoFieldGetILNS_13FindFieldTypeE2ELNS_9Primitive4TypeE2ELb0EEEbPNS_6ThreadERNS_11ShadowFrameEPKNS_11InstructionEt  address:0x79a062e4a4'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art11interpreter16UnstartedRuntime28UnstartedStringFastSubstringEPNS_6ThreadEPNS_11ShadowFrameEPNS_6JValueEm  address:0x79a06a37c8'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art13SignalCatcherC1ERKNSt3__112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEEb  address:0x79a083c644'} data: None
message: {'type': 'send', 'payload': 'name:mspace_realloc  address:0x79a057770c'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art16CumulativeLogger5StartEv  address:0x79a0487b68'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art11ClassLinker10AllocClassEPNS_6ThreadENS_6ObjPtrINS_6mirror5ClassEEEj  address:0x79a04cfce0'} data: None
message: {'type': 'send', 'payload': 'name:deflateTune  address:0x79a0916d4c'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art6Thread21CreateCompileTimePeerEP7_JNIEnvPKcbP8_jobject  address:0x79a084f098'} data: None
message: {'type': 'send', 'payload': 'name:_ZN3art11ClassLinker19ResolveMethodHandleEjPNS_9ArtMethodE  address:0x79a04f9478'} data: None
message: {'type': 'send', 'payload': 'name:_ZNSt3__112__hash_tableINS_17__hash_value_typeIPKN3art2gc21AllocRecordStackTraceEjEENS_22__unordered_map_hasherIS6_S7_NS3_23HashAllocRecordTypesPtrIS4_EELb1EEENS_21__unordered_map_equalIS6_S7_NS3_21EqAllocRecordTypesPtrIS4_EELb1EEENS_9allocatorIS7_EEE8__rehashEm  address:0x79a060fc68'} data: None
